user_id,session_duration,transaction_amount,ip_address,device_type,location,number_of_failed_logins,label
user_0000,,196.40885977311058,177.155.124.157,,UK,2.0,0.0
user_0001,4235.405418489759,4367.543286652102,195.185.100.196,desktop,AU,3.0,1.0
user_0002,2866.5843982466977,414.57681683748666,128.95.94.7,mobile,,0.0,0.0
user_0003,302.0716570565366,288.8112918090498,89.251.101.71,desktop,FR,1.0,0.0
user_0004,2283.483230959014,497.2419095518093,247.249.176.49,mobile,CA,1.0,0.0
user_0005,2511.0641252825403,457.36000259615025,35.211.193.217,mobile,FR,1.0,0.0
user_0006,2450.2353175403096,399.0979323603471,126.205.183.146,desktop,US,,0.0
user_0007,1466.252265552204,307.0790209006616,13.184.205.131,desktop,DE,2.0,
user_0008,498.0059841329142,382.5157488517303,80.108.136.76,mobile,BR,1.0,0.0
user_0009,3007.118057660121,385.5555823750847,43.8.100.204,,AU,2.0,0.0
user_0010,1332.8137853311919,265.2735054465648,10.71.80.131,desktop,UK,0.0,0.0
user_0011,1560.0476391747954,358.8980527600813,248.87.254.215,desktop,DE,1.0,0.0
user_0012,635.2247002145895,245.07907170382774,34.247.79.36,mobile,UK,1.0,0.0
user_0013,939.3699257814159,494.9565234174673,99.175.124.160,mobile,UK,1.0,0.0
user_0014,1672.4173409555253,484.8149121729398,124.239.252.149,desktop,CA,0.0,0.0
user_0015,380.2369097131934,89.56787461268323,151.215.63.15,desktop,AU,2.0,0.0
user_0016,1941.9909051642837,,197.31.63.42,desktop,CA,2.0,0.0
,3055.0338092739044,412.4317371410565,124.134.10.255,mobile,UK,0.0,
user_0018,23.224403998064826,4407.106990202198,129.247.74.70,tablet,JP,9.0,1.0
user_0019,2446.735111133259,495.4626858995159,162.236.135.10,desktop,CA,2.0,0.0
user_0020,1012.8778170663429,313.3088627282796,209.217.253.40,desktop,JP,1.0,0.0
user_0021,3363.9978460842767,312.51005272293554,97.70.51.2,mobile,CA,,0.0
user_0022,2.689278699330065,2399.59059839116,101.244.6.210,tablet,JP,8.0,1.0
user_0023,,417.5967703950483,31.17.49.168,desktop,US,0.0,
user_0024,11.313642421330956,4791.815005573839,28.158.207.228,mobile,FR,6.0,1.0
user_0025,1328.5530485843005,99.36175124638947,100.66.120.14,desktop,,2.0,0.0
user_0026,262.51108640448064,450.24661112958154,66.73.45.37,desktop,US,2.0,0.0
user_0027,2247.8624566278704,333.4890904728825,1.53.222.233,desktop,US,2.0,
user_0028,2544.047672333864,55.263081926531555,35.70.10.180,mobile,AU,2.0,0.0
